user_id,eobt,eldt,departure_airport,arrival_airport,route,remarks,callsign,aircraft,registration,departure_stand,arrival_stand,departure_rwy,arrival_rwy
,2020-10-10 11:25,2020-10-10 15:06,GCFV,EDDF,VASTO DCT BAROK DCT TAGUX DCT TOSDI UN745 ZMR UN873 OBATO UM163 TSU UN858 VALEK UM163 DIK T856 NIVNU T180 UNOKO,,CFG7AM,B753,DABON,,V167,,
,2020-10-10 11:45,2020-10-10 15:10,GMMX,EDDF,,,DLH1333,A320,DAIUH,,B27,,
,2020-10-10 13:05,2020-10-10 15:15,LEMD,EDDF,RBO UN867 DGO UL176 CNA UN858 BOKNO DCT DIBES DCT TSU UN858 VALEK UM163 DIK T856 NIVNU T180 UNOKO,,LAN704,B789,CCBGN,,B43,,
,2020-10-10 12:10,2020-10-10 15:18,GMMN,EDDF,,,RAM810D,B738,CNRNP,,V106,,
,2020-10-10 02:30,2020-10-10 15:19,SAEZ,EDDF,,,DLH511,B748,DABYC,,C15,,
,2020-10-10 03:55,2020-10-10 15:23,FIMP,EDDF,,,CFG315,B763,DABUE,,C11,,
,2020-10-10 04:45,2020-10-10 15:24,ZSQD,EDDF,,,DLH787,A343,DAIGT,,A69,,
,2020-10-10 10:30,2020-10-10 15:25,HEGN,EDDF,HGD V608 AST P751 KUNKI L321 KATAB B12 DBA M872 METRU UM872 PLH UB1 DDM UM619 YNN UL604 DIMIS DCT RETRA DCT GAC DCT TEBLI DCT VANAX DCT SIMBA Y700 NENUM T161 SPESA,,CFG031,B763,DABUI,,V164,,
,2020-10-10 14:00,2020-10-10 15:27,EHAM,EDDF,EDUPO Z739 MISGO T911 ROLIS,,DLH4A,A20N,DAINN,,V155,,
,2020-10-10 12:30,2020-10-10 15:28,UUEE,EDDF,,,AFL2656,B738,VQBWA,,V118,,
,2020-10-10 13:10,2020-10-10 15:29,LEMD,EDDF,RBO UN867 DGO UL176 CNA UN858 BOKNO DCT DIBES DCT TSU UN858 VALEK UM163 DIK T856 NIVNU T180 UNOKO,,AEA30BQ,B738,ECLTM,,V115,,
,2020-10-10 14:35,2020-10-10 15:33,EHAM,EDDF,EDUPO Z739 MISGO T911 ROLIS,,KLM1769,E75L,PHEXH,,V95,,
