"user_id","eobt","eldt","departure_airport","arrival_airport","route","remarks","callsign","aircraft","registration","departure_stand","arrival_stand","departure_rwy","arrival_rwy"
,"2020-10-10 16:00","2020-10-10 19:58","EDDF","LLBG",,,"DLH690","A321","DAIDL",,,,
,"2020-10-10 16:05","2020-10-10 17:11","EDDF","EDDT",,,"DLH5CL","A321","DAISB",,,,
,"2020-10-10 16:15","2020-10-10 17:13","EDDF","EDDT",,,"DLH6RP","A320","DAIZG",,,,
,"2020-10-10 16:15","2020-10-10 17:16","EDDF","EHAM",,,"KLM1770","E75L","PHEXH",,,,
,"2020-10-10 16:15","2020-10-10 17:46","EDDF","LIRF",,,"AZA3ZU","A320","EIDTF",,,,
,"2020-10-10 16:25","2020-10-10 17:01","EDDF","LSZH",,,"DLH9VX","A320","DAIQW",,,,
,"2020-10-10 16:10","2020-10-10 02:08","EDDF","RKSI",,,"DLH712","B744","DABVR",,,,
,"2020-10-10 16:20","2020-10-10 02:34","EDDF","ZSNJ",,,"DLH780","A343","DAIFD",,,,
,"2020-10-10 16:30","2020-10-10 02:31","EDDF","RKSI",,,"AAR542","A388","HL7626",,,,
,"2020-10-10 16:00","2020-10-10 18:08","EDDF","EGLL",,,"DLH6HT","A20N","DAINC",,,,
,"2020-10-10 16:30","2020-10-10 17:25","EDDF","EDDM",,,"DLH8LL","A321","DAISR",,,,
,"2020-10-10 16:05","2020-10-10 18:04","EDDF","EGLC",,,"CFE7GY","E170","GLCYH",,,,
,"2020-10-10 16:15","2020-10-10 17:33","EDDF","EDDM",,,"NJE289W","C56X","CSDXX",,,,
,"2020-10-10 16:10","2020-10-10 03:14","EDDF","RJTT",,,"DLH716","B748","DABYG",,,,
,"2020-10-10 16:00","2020-10-10 17:45","EDDF","EDDH",,,"DLH4NF","A321","DAIRN",,,,
,"2020-10-10 16:25","2020-10-10 18:11","EDDF","EGSS",,,"RYR9WZ","B738","EIDYO",,,,
,"2020-10-10 16:15","2020-10-10 18:12","EDDF","EGLC",,,"DLH936","E190","DAECA",,,,
,"2020-10-10 16:45","2020-10-10 18:10","EDDF","LDZA",,,"CTN19H","A320","9ACTK",,,,
,"2020-10-10 16:40","2020-10-10 20:09","EDDF","GMMN",,,"RAM811D","B738","CNRNP",,,,
,"2020-10-10 16:40","2020-10-10 20:04","EDDF","LTAI",,,"SXS9SW","B738","TCSOA",,,,
,"2020-10-10 17:11","2020-10-10 18:45","EDDF","EGLL",,,"BAW911U","A320","GEUYH",,,,
,"2020-10-10 16:45","2020-10-10 19:21","EDDF","EVRA",,,"BTI7KJ","B735","YLBBD",,,,
,"2020-10-10 16:50","2020-10-10 20:16","EDDF","UUEE",,,"AFL2657","B738","VQBWA",,,,
,"2020-10-10 17:05","2020-10-10 18:20","EDDF","EDDT",,,"DLH1AF","A21N","DAIEC",,,,
,"2020-10-10 17:15","2020-10-10 19:29","EDDF","UMMS",,,"DLH1488","E190","DAECB",,,,
,"2020-10-10 17:20","2020-10-10 18:26","EDDF","EHAM",,,"KLM1774","E75L","PHEXS",,,,
,"2020-10-10 17:25","2020-10-10 18:12","EDDF","EBBR",,,"DLH9ET","A320","DAIUK",,,,
,"2020-10-10 17:10","2020-10-10 19:19","EDDF","LBSF",,,"DLH1MH","A20N","DAINE",,,,
,"2020-10-10 17:15","2020-10-10 17:57","EDDF","EDDS",,,"DLH5YE","CRJ9","DACKK",,,,
,"2020-10-10 17:15","2020-10-10 19:51","EDDF","LEMD",,,"ANE17MA","CRJX","ECMNR",,,,
,"2020-10-10 17:10","2020-10-10 21:48","EDDF","HEMA",,,"HES7830","A321","TCOBY",,,,
,"2020-10-10 17:00","2020-10-10 18:27","EDDF","EDDH",,,"DLH9PL","A321","DAISD",,,,
,"2020-10-10 17:10","2020-10-10 20:08","EDDF","LEMD",,,"AEA71QC","B738","ECLTM",,,,
,"2020-10-10 17:00","2020-10-10 21:41","EDDF","HEGN",,,"HES6830","A321","LZHEA",,,,
,"2020-10-10 17:10","2020-10-10 20:29","EDDF","UUDD",,,"DLH1452","A320","DAIUH",,,,
,"2020-10-10 17:25","2020-10-10 20:16","EDDF","LEMD",,,"LAN705","B789","CCBGN",,,,
,"2020-10-10 17:20","2020-10-10 18:44","EDDF","EDDT",,,"EJU46MC","A319","OELKL",,,,
,"2020-10-10 17:25","2020-10-10 20:03","EDDF","EFHK",,,"FIN6EA","A321","OHLZF",,,,
,"2020-10-10 17:35","2020-10-10 05:22","EDDF","MMMX",,,"UAE9933","B77L","A6EFG",,,,
,"2020-10-10 17:40","2020-10-10 23:11","EDDF","OERK",,,"SVA930","B744","TCACM",,,,
,"2020-10-10 17:40","2020-10-10 18:51","EDDF","LIMC",,,"AZA419","E75S","EIRDF",,,,
,"2020-10-10 17:25","2020-10-10 19:55","EDDF","LROP",,,"ROT306T","B737","YRBGI",,,,
,"2020-10-10 17:30","2020-10-10 20:21","EDDF","ULLI",,,"DLH1438","A321","DAIDV",,,,
,"2020-10-10 17:40","2020-10-10 04:36","EDDF","RJAA",,,"JAL408","B789","JA867J",,,,
,"2020-10-10 17:50","2020-10-10 19:04","EDDF","LOWW",,,"AUA126","A321","OELBC",,,,
,"2020-10-10 17:50","2020-10-10 19:50","EDDF","EGPE",,,"AXY2714","E35L","9HJPC",,,,
,"2020-10-10 17:50","2020-10-10 19:00","EDDF","LFPG",,,"AFR84XT","E190","FHBLB",,,,
,"2020-10-10 17:45","2020-10-10 19:03","EDDF","EDDT",,,"DLH9JK","A321","DAIRH",,,,
,"2020-10-10 17:40","2020-10-10 18:48","EDDF","EDDM",,,"DLH8YW","A20N","DAINJ",,,,
,"2020-10-10 17:40","2020-10-10 03:34","EDDF","RKSI",,,"KAL906","B748","HL7643",,,,
,"2020-10-10 18:00","2020-10-10 19:48","EDDF","EGLL",,,"DLH4WN","A20N","DAINP",,,,
,"2020-10-10 17:28","2020-10-10 19:13","EDDF","LIME",,,"RYR81LN","B738","EIFZJ",,,,
,"2020-10-10 17:50","2020-10-10 19:40","EDDF","EPWA",,,"LOT3FD","E195","SPLNC",,,,
,"2020-10-10 18:00","2020-10-10 19:14","EDDF","EDDH",,,"DLH3WM","A321","DAIDI",,,,
,"2020-10-10 17:40","2020-10-10 21:12","EDDF","LPFR",,,"RYR1VV","B738","EIDYY",,,,
,"2020-10-10 17:55","2020-10-10 23:31","EDDF","UACC",,,"KZR922","B752","P4MAS",,,,
,"2020-10-10 18:00","2020-10-10 03:00","EDDF","HKMO",,,"CFG282","B763","DABUC",,,,
,"2020-10-10 18:10","2020-10-10 19:31","EDDF","EGLC",,,"CFE48J","E190","GLCYS",,,,
,"2020-10-10 17:50","2020-10-10 19:26","EDDF","LKPR",,,"CSA537","AT75","OKNFV",,,,
,"2020-10-10 18:05","2020-10-10 02:23","EDDF","KJFK",,,"GEC8160","MD11","DALCM",,,,
,"2020-10-10 18:00","2020-10-10 21:16","EDDF","LPPT",,,"DLH57F","A320","DAIUL",,,,
,"2020-10-10 18:00","2020-10-10 04:20","EDDF","ZSPD",,,"CCA936","A359","B1081",,,,
,"2020-10-10 18:10","2020-10-10 03:49","EDDF","FYWH",,,"NMB286","A332","V5ANP",,,,
,"2020-10-10 18:12","2020-10-10 20:14","EDDF","ESSA",,,"SAS674","A20N","SEROE",,,,
,"2020-10-10 18:15","2020-10-10 03:07","EDDF","ZBAA",,,"CCA932","B77W","B1430",,,,
,"2020-10-10 18:15","2020-10-10 22:07","EDDF","LLBG",,,"ELY356","B738","4XEKF",,,,
,"2020-10-10 18:15","2020-10-10 19:11","EDDF","EDDM",,,"DLH3PV","A321","DAIDK",,,,
,"2020-10-10 18:20","2020-10-10 05:32","EDDF","FACT",,,"CFG290","B763","DABUE",,,,
,"2020-10-10 18:30","2020-10-10 19:36","EDDF","EDDT",,,"EJU25DA","A319","OELKA",,,,
,"2020-10-10 18:10","2020-10-10 21:39","EDDF","LPPT",,,"TAP579G","A20N","CSTVD",,,,
,"2020-10-10 18:29","2020-10-10 20:03","EDDF","EGLL",,,"BAW913U","A319","GEUPL",,,,
,"2020-10-10 18:30","2020-10-10 19:44","EDDF","EPWR",,,"DLH9CX","CRJ9","DACNA",,,,
,"2020-10-10 18:35","2020-10-10 19:38","EDDF","LFPG",,,"DLH17N","A319","DAILI",,,,
,"2020-10-10 18:20","2020-10-10 21:48","EDDF","LTAU",,,"SXD32N","A320","YLLCT",,,,
,"2020-10-10 18:40","2020-10-10 03:03","EDDF","VOBL",,,"GEC8456","MD11","DALCD",,,,
,"2020-10-10 18:30","2020-10-10 19:55","EDDF","EKCH",,,"SAS1636","A321","OYKBL",,,,
,"2020-10-10 18:30","2020-10-10 20:01","EDDF","LFML",,,"DLH48X","A319","DAILD",,,,
,"2020-10-10 18:30","2020-10-10 19:56","EDDF","LJLJ",,,"ADR125","B462","DAMGL",,,,
,"2020-10-10 18:35","2020-10-10 19:40","EDDF","EDDT",,,"DLH044","A320","DAIQF",,,,
,"2020-10-10 18:35","2020-10-10 04:19","EDDF","KMEM",,,"FDX3","B77L","N887FD",,,,
,"2020-10-10 18:35","2020-10-10 20:40","EDDF","LEPA",,,"DLH02P","A320","DAIUM",,,,
,"2020-10-10 18:45","2020-10-10 19:40","EDDF","LOWL",,,"DLH95U","E190","DAECE",,,,
,"2020-10-10 18:20","2020-10-10 03:28","EDDF","ZBAA",,,"CAO1032","B77L","B2097",,,,
,"2020-10-10 18:50","2020-10-10 21:18","EDDF","LTFM",,,"THY3GE","A333","TCLOG",,,,
,"2020-10-10 18:50","2020-10-10 19:52","EDDF","LIMC",,,"DLH7CP","A20N","DAINH",,,,
