"user_id","eobt","eldt","departure_airport","arrival_airport","route","remarks","callsign","aircraft","registration","departure_stand","arrival_stand","departure_rwy","arrival_rwy"
,"2020-10-10 14:25","2020-10-10 17:30","LTFM","EDDF",,,"THY8HS","A333","TCLOG",,,,
,"2020-10-10 16:30","2020-10-10 17:31","LFPG","EDDF",,,"DLH6J","A20N","DAING",,,,
,"2020-10-10 16:40","2020-10-10 17:32","EDDT","EDDF",,,"EJU289D","A319","OELKA",,,,
,"2020-10-10 15:00","2020-10-10 17:33","LEMD","EDDF",,,"DLH34C","A320","DAIUM",,,,
,"2020-10-10 16:15","2020-10-10 17:34","EKCH","EDDF",,,"SAS1635","A321","OYKBL",,,,
,"2020-10-10 16:10","2020-10-10 17:34","EGLC","EDDF",,,"CFE40E","E190","GLCYS",,,,
,"2020-10-10 04:15","2020-10-10 17:36","SAEZ","EDDF",,,"GEC8273","B77L","DALFF",,,,
,"2020-10-10 16:30","2020-10-10 17:36","LOWI","EDDF",,,"AUA287","DH8D","OELGN",,,,
,"2020-10-10 16:10","2020-10-10 17:38","LIRQ","EDDF",,,"DLH7AH","E190","DAECE",,,,
,"2020-10-10 15:25","2020-10-10 17:38","EGLL","EDDF",,,"BAW912N","A319","GEUPL",,,,
,"2020-10-10 17:00","2020-10-10 17:39","ELLX","EDDF",,,"DLH397","A319","DAIBH",,,,
,"2020-10-10 16:45","2020-10-10 17:39","LOWL","EDDF",,,"DLH03Y","CRJ9","DACNW",,,,
,"2020-10-10 16:10","2020-10-10 17:41","LOWW","EDDF",,,"DLH6V","A321","DAISU",,,,
,"2020-10-10 15:48","2020-10-10 17:41","LYBE","EDDF",,,"ASL90C","A320","YUAPG",,,,
,"2020-10-10 15:10","2020-10-10 17:42","ULLI","EDDF",,,"DLH1437","A320","DAIUD",,,,
,"2020-10-10 15:10","2020-10-10 17:43","LGTS","EDDF",,,"DLH1289","A320","DAIQU",,,,
,"2020-10-10 17:05","2020-10-10 17:44","EDDG","EDDF",,,"DLH069","A319","DAILH",,,,
,"2020-10-10 16:40","2020-10-10 17:44","LFSB","EDDF",,,"DLH3KA","CRJ9","DACNA",,,,
,"2020-10-10 16:45","2020-10-10 17:46","EDDT","EDDF",,,"DLH9WA","A321","DAISW",,,,
,"2020-10-10 16:00","2020-10-10 17:46","LDZA","EDDF",,,"CTN414","A319","9ACTL",,,,
,"2020-10-10 16:20","2020-10-10 17:48","EPKT","EDDF",,,"DLH2XY","CRJ9","DACNH",,,,
,"2020-10-10 17:00","2020-10-10 17:49","EDDM","EDDF",,,"DLH2WL","A320","DAIUE",,,,
,"2020-10-10 17:00","2020-10-10 17:49","EDDW","EDDF",,,"DLH359","A321","DAISG",,,,
,"2020-10-10 16:35","2020-10-10 17:50","EHAM","EDDF",,,"DLH2A","A321","DAISX",,,,
,"2020-10-10 16:55","2020-10-10 17:51","LOWS","EDDF",,,"AUA269","E195","OELWL",,,,
,"2020-10-10 15:32","2020-10-10 17:52","EETN","EDDF",,,"DLH883","A320","DAIUF",,,,
,"2020-10-10 15:50","2020-10-10 17:53","EYVI","EDDF",,,"DLH897","A20N","DAINH",,,,
,"2020-10-10 16:40","2020-10-10 17:53","LIMC","EDDF",,,"DLH5TU","CRJ9","DACKF",,,,
,"2020-10-10 17:05","2020-10-10 17:55","EDDV","EDDF",,,"DLH1TX","A321","DAIDJ",,,,
,"2020-10-10 13:40","2020-10-10 17:56","HECA","EDDF",,,"DLH583","A333","DAIKM",,,,
,"2020-10-10 16:50","2020-10-10 17:57","EDDC","EDDF",,,"DLH3FU","A20N","DAINT",,,,
,"2020-10-10 14:45","2020-10-10 17:58","LTFM","EDDF",,,"DLH1301","A320","DAIUP",,,,
,"2020-10-10 16:45","2020-10-10 17:58","LIPX","EDDF",,,"DLA77W","E195","IADJX",,,,
,"2020-10-10 17:00","2020-10-10 17:59","EDDH","EDDF",,,"DLH8YF","A321","DAIDG",,,,
,"2020-10-10 15:35","2020-10-10 18:01","LROP","EDDF",,,"DLH5PH","A20N","DAINA",,,,
,"2020-10-10 16:45","2020-10-10 18:01","LIMF","EDDF",,,"DLA3QS","E195","IADJV",,,,
,"2020-10-10 17:00","2020-10-10 18:02","LSZH","EDDF",,,"SWR1076","A320","HBJLP",,,,
,"2020-10-10 13:30","2020-10-10 18:02","LLBG","EDDF",,,"DLH687","A321","DAISJ",,,,
,"2020-10-10 15:40","2020-10-10 18:04","EFHK","EDDF",,,"DLH9CH","A320","DAIZY",,,,
,"2020-10-10 15:40","2020-10-10 18:05","LPPR","EDDF",,,"DLH64T","A321","DAISO",,,,
,"2020-10-10 16:45","2020-10-10 18:06","LIPQ","EDDF",,,"DLH245","CRJ9","DACNF",,,,
,"2020-10-10 15:30","2020-10-10 18:07","LGAV","EDDF",,,"DLH8HR","A321","DAIST",,,,
,"2020-10-10 15:35","2020-10-10 18:07","LMML","EDDF",,,"DLH1AE","A320","DAIZW",,,,
,"2020-10-10 17:00","2020-10-10 18:08","EDDP","EDDF",,,"DLH1RP","RJ85","EIRJO",,,,
,"2020-10-10 16:25","2020-10-10 18:10","LHBP","EDDF",,,"DLH7LC","E190","DAECF",,,,
,"2020-10-10 16:50","2020-10-10 18:10","EPWR","EDDF",,,"DLH6LF","CRJ9","DACNV",,,,
,"2020-10-10 14:05","2020-10-10 18:11","OLBA","EDDF",,,"DLH1307","A321","DAIDM",,,,
,"2020-10-10 16:15","2020-10-10 18:12","EGSS","EDDF",,,"AAR793","B744","HL7419",,,,
,"2020-10-10 16:35","2020-10-10 18:13","LIEO","EDDF",,,"DLH9FP","CRJ9","DACNN",,,,
,"2020-10-10 17:05","2020-10-10 18:14","EKBI","EDDF",,,"DLH6PN","CRJ9","DACNB",,,,
,"2020-10-10 17:00","2020-10-10 18:15","LOWG","EDDF",,,"AUA257","E195","OELWJ",,,,
,"2020-10-10 16:45","2020-10-10 18:15","LSGG","EDDF",,,"SWR106U","BCS3","HBJCH",,,,
,"2020-10-10 16:49","2020-10-10 18:17","EGLL","EDDF",,,"DLH8U","A321","DAIRY",,,,
,"2020-10-10 16:55","2020-10-10 18:17","LIPE","EDDF",,,"DLH6RX","A320","DAIUN",,,,
,"2020-10-10 16:15","2020-10-10 18:19","LIRF","EDDF",,,"DLH237","A320","DAIZP",,,,
,"2020-10-10 16:20","2020-10-10 18:19","EIDW","EDDF",,,"EIN65A","A320","EIDEI",,,,
,"2020-10-10 17:15","2020-10-10 18:21","EDDT","EDDF",,,"DLH169","A20N","DAINQ",,,,
,"2020-10-10 17:00","2020-10-10 18:22","LFLL","EDDF",,,"DLH72E","A320","DAIZO",,,,
,"2020-10-10 16:35","2020-10-10 18:23","LFBD","EDDF",,,"DLH41H","A320","DAIPP",,,,
,"2020-10-10 15:40","2020-10-10 18:24","LMML","EDDF",,,"AMC328","A20N","9HNEC",,,,
,"2020-10-10 15:30","2020-10-10 18:24","LPPT","EDDF",,,"DLH65E","A321","DAISH",,,,
,"2020-10-10 16:55","2020-10-10 18:27","LIRQ","EDDF",,,"DLA4GL","E195","IADJT",,,,
,"2020-10-10 16:10","2020-10-10 18:27","EGLL","EDDF",,,"BAW914N","A319","GEUOA",,,,
,"2020-10-10 17:00","2020-10-10 18:29","EKCH","EDDF",,,"DLH2NJ","A320","DAIUG",,,,
,"2020-10-10 16:30","2020-10-10 18:29","LDDU","EDDF",,,"DLH9ME","A20N","DAINF",,,,
,"2020-10-10 16:12","2020-10-10 18:31","LBSF","EDDF",,,"DLH8EN","A20N","DAINU",,,,
,"2020-10-10 17:15","2020-10-10 18:32","LIPZ","EDDF",,,"DLH8VC","A320","DAIZZ",,,,
,"2020-10-10 16:55","2020-10-10 18:33","LFBO","EDDF",,,"DLH21U","CRJ9","DACNL",,,,
,"2020-10-10 17:10","2020-10-10 18:35","LOWW","EDDF",,,"DLH9V","A321","DAIRM",,,,
,"2020-10-10 17:45","2020-10-10 18:36","EBBR","EDDF",,,"DLH8W","A20N","DAINR",,,,
,"2020-10-10 16:35","2020-10-10 18:37","LIRN","EDDF",,,"DLH323","A320","DAIWH",,,,
,"2020-10-10 17:15","2020-10-10 18:39","EPWA","EDDF",,,"DLH4ER","A320","DAIUO",,,,
,"2020-10-10 16:20","2020-10-10 18:39","LEAL","EDDF",,,"DLH66M","A321","DAIRT",,,,
,"2020-10-10 16:45","2020-10-10 18:40","ENGM","EDDF",,,"DLH2TR","A320","DAIWG",,,,
,"2020-10-10 17:00","2020-10-10 18:42","LFMN","EDDF",,,"DLH76V","A20N","DAINM",,,,
,"2020-10-10 17:55","2020-10-10 18:43","EDDP","EDDF",,,"BCS844P","B752","DALEU",,,,
,"2020-10-10 17:30","2020-10-10 18:44","LFPG","EDDF",,,"DLH2F","A21N","DAIEB",,,,
,"2020-10-10 17:15","2020-10-10 18:46","EGCC","EDDF",,,"DLH947","A320","DAIUJ",,,,
,"2020-10-10 05:55","2020-10-10 18:46","WSSS","EDDF",,,"SIA326","B77W","9VSWU",,,,
,"2020-10-10 17:30","2020-10-10 18:47","LSGG","EDDF",,,"DLH4K","CRJ9","DACND",,,,
,"2020-10-10 17:05","2020-10-10 18:49","LIRF","EDDF",,,"DLH3FR","A320","DAIZI",,,,
,"2020-10-10 17:00","2020-10-10 18:49","EGPH","EDDF",,,"DLH7WY","A320","DAIUA",,,,
,"2020-10-10 17:45","2020-10-10 18:50","EDDH","EDDF",,,"DLH1ML","A321","DAIRF",,,,
,"2020-10-10 17:30","2020-10-10 18:52","EGBB","EDDF",,,"DLH3TV","A20N","DAINO",,,,
,"2020-10-10 17:05","2020-10-10 18:52","LFML","EDDF",,,"DLH51Y","CRJ9","DACKI",,,,
,"2020-10-10 15:50","2020-10-10 18:54","UUEE","EDDF",,,"AFL2304","A320","VQBEJ",,,,
,"2020-10-10 16:50","2020-10-10 18:55","ESSA","EDDF",,,"DLH805","A20N","DAINL",,,,
,"2020-10-10 17:45","2020-10-10 18:56","EHAM","EDDF",,,"DLH8A","A320","DAIUB",,,,
,"2020-10-10 17:20","2020-10-10 18:57","LHBP","EDDF",,,"DLH3NK","E190","DAECD",,,,
,"2020-10-10 18:00","2020-10-10 18:58","LSZH","EDDF",,,"DLH6C","A320","DAIQW",,,,
,"2020-10-10 16:50","2020-10-10 18:59","LEBL","EDDF",,,"DLH09W","A321","DAISK",,,,
