user_id,eobt,eldt,departure_airport,arrival_airport,route,remarks,callsign,aircraft,registration,departure_stand,arrival_stand,departure_rwy,arrival_rwy
,2020-10-10 15:00,2020-10-10 19:24,EDDF,OIIE,SULUS UL984 OKG L984 LUXAR L986 IVF N195 BUKOV N190 NETED M860 KUGOS UL851 TBN UP146 ARI UL223 DASIS R660 TBZ R661 MIVAK,,DLH600,A333,DAIKN,,,,
,2020-10-10 14:30,2020-10-10 16:24,EDDF,LFML,ANEKI Y163 HERBI Y164 OLBEN UN869 NEMOS GVA BALSI,,DLH94N,CRJ9,DACKI,,,,
,2020-10-10 14:55,2020-10-10 16:29,EDDF,EGBB,OBOKA Z29 TORNU DCT BREDA DCT GALSO Q63 ERING L179 LAM L610 HEMEL T420 BUZAD,,DLH956,A20N,DAINO,,,,
,2020-10-10 15:00,2020-10-10 20:41,EDDF,OMDW,CINDY HAREM T104 XERUM M867 VAROB VJOSA YNN UL604 PLH UM872 METRU A1 CVO L315 HGD M872 KIA UM440 BOPEK GIDIS,,UAE9978,B77L,A6EFS,,,,
,2020-10-10 15:00,2020-10-10 16:09,EDDF,LFLL,ANEKI Y163 HERBI Y164 OLBEN UN869 MILPA,,DLH22V,A320,DAIZO,,,,
,2020-10-10 15:00,2020-10-10 16:37,EDDF,EGLL,SOBRA Y180 BITBU Y181 DEMUL M624 BUB L608 COA L179 SASKI L608 LOGAN,,DLH6KJ,A20N,DAIND,,,,
,2020-10-10 14:50,2020-10-10 16:10,EDDF,LIMF,ANEKI Y163 NATOR N850 DEGAD Z424 AKASU,,DLA50HH,E195,IADJV,,,,
,2020-10-10 15:10,2020-10-10 16:23,EDDF,EKBI,MARUN Y150 TOLGI DCT EKERN M852 ALS P615 ASBIL DCT UVINA DCT LOKSA,,DLH1CV,CRJ9,DACNB,,,,
,2020-10-10 14:55,2020-10-10 16:05,EDDF,LSGG,ANEKI Y163 HERBI Y164 OLBEN UN869 BENOT,,SWR1085,BCS3,HBJCH,,,,
,2020-10-10 15:10,2020-10-10 15:55,EDDF,LFSB,ANEKI Y163 PABLA T715 RIGVI,,DLH3TP,CRJ9,DACNA,,,,
,2020-10-10 15:10,2020-10-10 23:32,EDDF,CYYZ,MARUN Y152 ARPEG Z850 ABILU RKN SPY RAVLO Y70 OTBED L60 PENIL M144 BAGSO DOGAL NATA NEEKO N482A YRI J560 YQB PESAC Q921 AGLUK Q941 TAKOL LETAK IMEBA5,,ACA877,A333,CGHKX,,,,
,2020-10-10 15:10,2020-10-10 18:09,EDDF,UUDD,TOBAK N858 ERSIL Y172 MAG DCT GILAS M994 DENKO N858 OGUTA N740 FK,,DLH1450,A320,DAIUI,,,,
,2020-10-10 14:50,2020-10-10 16:22,EDDF,EPWR,SULUS UL984 OKG L984 EROKA DCT ARTUP T871 DINOV,,DLH8FU,CRJ9,DACNV,,,,
,2020-10-10 15:20,2020-10-10 15:55,EDDF,EDLP,MARUN Y154 SODNA T842 PELUN,,DLH364,CRJ9,DACKA,,,,
,2020-10-10 15:15,2020-10-10 16:24,EDDF,LIPZ,ANEKI Y163 NATOR N850 ODINA/F290 M727 SRN L615 ADOSA L612 ALBET,,DLH7ET,A320,DAIZZ,,,,
,2020-10-10 15:10,2020-10-10 16:35,EDDF,EKCH,MARUN Y150 TOLGI DCT ELKIM DCT MAKEL N851 GESKA Z711 MONAK,,DLH830,A320,DAIUG,,,,
,2020-10-10 15:15,2020-10-10 15:58,EDDF,EDDN,KOMIB T193 ERTES,,DLH3UV,A320,DAIWE,,,,
,2020-10-10 15:10,2020-10-10 23:31,EDDF,KIAD,MARUN Y152 ARPEG Z850 ABILU RKN SPY RAVLO Y70 OTBED L60 PENIL M144 BAGSO DOGAL NATA NEEKO N480A TAFFY ENE BAF HYPER7,,UAL933,B772,N206UA,,,,
,2020-10-10 15:10,2020-10-10 16:11,EDDF,EDDC,SULUS L984 KULOK Z715 ABKIS Q240 DRN,,DLH3ME,A20N,DAINT,,,,
,2020-10-10 15:15,2020-10-10 02:17,EDDF,SKBO,SOBRA NISIV DIK GIMER ERIGA NOVAN LOTEE PETEK BANAL 41N020W 37N030W 35N035W 33N040W 31N045W 28N050W 25N055W RKDIA OBIKE SCAPA AMBAS UGOSA LOKOV EJA ILSEV,,DLH542,A346,DAIHZ,,,,
,2020-10-10 15:05,2020-10-10 16:33,EDDF,LOWW,CINDY Z74 LAMPU Z54 NOMBO Y161 RIDAR UZ98 MIQ UL605 BIBAG Q104 AKIMA DCT MASUR,,DLH68H,A321,DAIRM,,,,
,2020-10-10 15:15,2020-10-10 16:13,EDDF,EDDW,MARUN Y153 WRB N850 NIE Z88 VERED,,DLH7KL,A321,DAISG,,,,
,2020-10-10 15:20,2020-10-10 16:07,EDDF,LSZH,ANEKI Y163 NEKLO Y171 INKAM T725 LAMGO T721 RILAX,,SWR75C,E190,HBJVL,,,,
,2020-10-10 15:15,2020-10-10 16:17,EDDF,EDDM,CINDY Z74 HAREM T104 ANORA,,DLH8CN,A320,DAIUE,,,,
,2020-10-10 15:20,2020-10-10 16:02,EDDF,EDDS,ANEKI Y163 NEKLO Y171 INKAM N850 KRH T128 BADSO,,DLH1AH,A319,DAILF,,,,
,2020-10-10 15:10,2020-10-10 01:06,EDDF,ZSPD,TOBAK N858 ERSIL Y172 MAG DCT BODLA L733 RANOK R239 OTVOV L733 ASKOR M155 RIA L73 LATLA A831 LUKIR P983 INRIM A952 SUNAD G814 SADER T580 ADMUR G117 XV R229 BA R104 ABK A308 TR P982 DARNO Y746 DALAM B208 NIXAL G343 ASURI W32 HET W559 TODAM B208 HFE R343 SASAN,,DLH728,A388,DAIMK,,,,
,2020-10-10 15:15,2020-10-10 16:24,EDDF,EDDT,TOBAK N858 SWALM T201 TAMEB T278 RUDAK,,DLH5NE,A20N,DAINQ,,,,
,2020-10-10 15:00,2020-10-10 00:38,EDDF,CYYC,MARUN Y152 ARPEG Z850 BADGO Z850 ABILU RKN GODOS P1 RODSI P58 FINDO ERAKA 60N020W 61N030W 61N040W 60N050W URTAK N762A UDMAR YPH 5890N YL ROMDA J540 YVC DUDNI TOTUB4,,CFG440,B763,DABUL,,,,
